objectid,filename,title,format,description,creator,item_information,subject,contributor,filesize,category,transcription,format,source,rights,inscription,type
r.001,r.001.jpg,Hamburger Rice Hot Dish,image/jpeg,An index card with a handwritten recipe for Hamburger Rice Hot Dish.,"McCormick, Joan",Index Card,recipe; cooking; casserole cooking,Great Grandma Ethel,1.6 MB,Main,"Great Grandma Ethel’s recipe
 Hamburger Rice Hot Dish
 1 lb hamburger
 ½ c uncooked rice
 1 can cream of mushroom soup
 ½ can water
 1 cup chopped celery
 1 onion chopped
 Salt + pepper to taste
 Saute onion in a little oil. Add meat + brown + season. Add other ingredients + mix well. Pour into casserole. Bake at 350* 1 ½ - 2 hours or until rice is done.
 Over ->",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.002,r.002.jpg,Hamburger Rice Hot Dish - Reverse,image/jpeg,The reverse of the index card with the handwritten recipe for Hamburger Rice Hot Dish. The recipe on this side is noted as the Quick Way to make the dish.,"McCormick, Joan",Index Card,recipe; cooking; casserole cooking,Great Grandma Ethel,1.3 MB,Main,"Quick way
 to cook on top of stove – use ¾ cup minute rice. Cook celery in microwave ^ in a little water until it begins to become soft. Add celery + juice to other ingredients, cook over low heat about 15-20 minutes",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.003,r.003.jpg,Chile,image/jpeg,"An index card with a handwritten recipe for chili, spelled Chile.","McCormick, Joan",Index Card,recipe; cooking; chili con carne,,1.7 MB,Main,"Uses Williams chile seasonings
 Chile
 2 lbs ground beef
 1 med onion, chopped
 } in large dutch oven brown together + drain grease
 2 cans stewed tomatoes
 1 large can tomato juice
 1 can tomato soup
 2 cans chililets in gravy
 1 T sugar
 1 pkg Williams chili seasoning
 ½-1 cup finely chopped celery
 } add to above + cook on low heat until flavor goes through
 *can be made in slow cooker*",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.004,r.004.jpg,Irresistable Peanut Butter Cookies,image/jpeg,An index card with a handwritten recipe for Irresistable [sic] Peanut Butter Cookies.,"McCormick, Joan",Index Card,recipe; baked products; cookies; cooking (peanut butter),,1.4 MB,Dessert,"Yield: about 3 doz
 Bake: 375* 7-8 minutes
 Irresistable Peanut Butter Cookies
 ¾ c peanut butter
 ½ c butter flavored crisco
 1¼ c firmly packed brown sugar
 3 Tbsp milk
 1 Tbsp vanilla
 1 egg
 1¾ c flour
 ¾ tsp salt
 ¾ tsp baking soda
 Combine peanut butter, brown sugar, oil + vanilla in large bowl Beat at medium speed at elec mixer until well blended. Add egg + beat just until blended. Combine flour, salt, + soda. Add to creamed mixture at low speed – just until blended. Drop by tspful onto ungreased baking sheet. Flatted slightly with fork over",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.005,r.005.jpg,Irresistable Peanut Butter Cookies - Reverse,image/jpeg,The reverse of the index card with the handwritten recipe for Irresistable [sic] Peanut Butter Cookies.,"McCormick, Joan",Index Card,recipe; baked products; cookies; cooking (peanut butter),,1.2 MB,Dessert,Bake at 375* for 7-8 minutes or until set and just beginning to brown. Cool 2 minutes on baking sheet. Remove cookies to a sheet of foil or wire rack to cool completely.,image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.006,r.006.jpg,Frosted Pumpkin Cookies (soft type),image/jpeg,An index card with a handwritten recipe for soft Frosted Pumpkin Cookies.,"McCormick, Joan",Index Card,recipe; baked products; cookies; cooking (pumpkin),,1.3 MB,Dessert,"Bake: 375* 10 minutes
 Frosted Pumpkin Cookies (soft type)
 1 c shortening or margarine
 1 c white sugar
 } cream together
 1 egg
 1 c canned pumpkin
 1 t vanilla
 } add
 2 c flour
 1 t baking power
 1 scant t baking soda
 ½ t salt
 1 t cinnamon
 } mix together and add to above
 Optional {
 1 c raisins or chopped dates
 ½ c chopped nuts 
 } mix in – drop on greased cookie sheet
 Bake 375* 10 minutes over ->",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.007,r.007.jpg,Frosted Pumpkin Cookies (soft type) - Reverse,image/jpeg,The reverse of the index card with the handwritten recipe for soft Frosted Pumpkin Cookies. This side includes the recipe for the frosting and instructions on when to frost them.,"McCormick, Joan",Index Card,recipe; baked products; cookies; cooking (pumpkin),,1.3 MB,Dessert,"Frost while cookies are warm.
 Frosting
 3 T margarine
 4 T milk
 ½ c brown sugar
 } mix together in small saucepan – boil 2 minutes – remove from heat & cool only slightly.
 1 t vanilla – add
 1 c powdered sugar – add gradually
 Let set a few minutes before using as it thickens some as it cools. Frost while cookies are warm.",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.008,r.008.jpg,Oatmeal Banana Chocolate Chip Cookies,image/jpeg,An index card with a handwritten recipe for Oatmeal Banana Chocolate Chip Cookies.,"McCormick, Joan",Index Card,recipe; baked products; cookies,,1.4 MB,Dessert,"Yield: 3½ doz. Bake: 400* 10-12 minutes
 Oatmeal Banana Chocolate Chip Cookies
 ¾ c sugar
 ¾ c shortening
 1 egg
 1½ c flour (or 1 c white flour w ½ c whole wheat flour)
 1 tsp baking soda
 1 tsp cinnamon
 ½ tsp nutmeg
 ½ tsp salt
 1 c mushed ripe bananas (2 medium)
 1 c oatmeal
 ½ - 1 c chocolate chips
 ½ c chopped walnuts
 Beat sugar + shortening until light. Add eggs + beat until light + fluffy. Mix next 5 ingredients together + add to mixture – blending well. Stir in remaining ingredients. Drop by tspful onto greased cookie sheet. Bake at 400* 10-12 minutes",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.009,r.009.jpg,Snickerdooles Cookies,image/jpeg,An index card with a handwritten recipe for Snickerdooles [Snickerdoodle] Cookies.,"McCormick, Joan",Index Card,recipe; baked products; cookies,,1.3 MB,Dessert,"Yield 4-5 doz Bake: 400* 8-10 minutes
 Snickerdooles Cookies
 Mix together thoroughly {
 1 c. soft shortening
 1½ c sugar
 2 eggs
 Soft together and stir in {
 2¾ c sifted flour
 2 tsp cream of tarter
 1 tsp soda
 ½ tsp salt
 Chill dough. Roll into balls the size of small walnuts. Roll in mixture of 2 Tbsp sugar + 2 tsp cinnamon. Place about 2” apart on ungreased cookie sheet. Bake until lightly brown – but still soft.",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
r.010,r.010.jpg,Oatmeal Cake,image/jpeg,An index card with a handwritten recipe for Oatmeal Cake.,"McCormick, Joan",Index Card,recipe; baked products; oatcakes,,1.4 MB,Dessert,"Bake 350* 35 min.
 Oatmeal Cake
 Mix + set aside {
 1 c oatmeal
 1¼ c boiling water
 Mix together {
 1 c white sugar
 1 c brown sugar
 ½ c oil
 2 eggs
 Sift together + add to sugar mixture {
 1½ c flour
 1 tsp soda
 ½ tsp salt
 1 tsp cinnamon
 Then – add oatmeal mixture + blend well. Pour into greased 9” x 13” pan. Bake at 350* 35 minutes
 over ->",image/jpeg,"McCormick, Carianne",Public Domain,,Image;StillImage
